id,name,genre,status,score,review,publish_year,duration,link
4025,Kami nomi zo Shiru Sekai: 4-nin to Idol,Harem,Hoàn thành,9.0,35,2011,24 phút,https://animehay.in/thong-tin-phim/kami-nomi-zo-shiru-sekai-4-nin-to-idol-2166.html
4025,Kami nomi zo Shiru Sekai: 4-nin to Idol,Ecchi,Hoàn thành,9.0,35,2011,24 phút,https://animehay.in/thong-tin-phim/kami-nomi-zo-shiru-sekai-4-nin-to-idol-2166.html
4025,Kami nomi zo Shiru Sekai: 4-nin to Idol,Shounen,Hoàn thành,9.0,35,2011,24 phút,https://animehay.in/thong-tin-phim/kami-nomi-zo-shiru-sekai-4-nin-to-idol-2166.html
4025,"Watashitachi, Luck Logic-bu!",Anime,Đang tiến hành,9.7,15,2016,12 Tập,https://animehay.in/thong-tin-phim/watashitachi-luck-logic-bu-animehay-2064.html
4025,"Watashitachi, Luck Logic-bu!",Hài hước,Đang tiến hành,9.7,15,2016,12 Tập,https://animehay.in/thong-tin-phim/watashitachi-luck-logic-bu-animehay-2064.html
4025,Big Order OVA,Anime,Hoàn thành,8.2,44,2015,23 phút,https://animehay.in/thong-tin-phim/big-order-ova-2165.html
4025,Big Order OVA,Hành động,Hoàn thành,8.2,44,2015,23 phút,https://animehay.in/thong-tin-phim/big-order-ova-2165.html
4025,Big Order OVA,Shounen,Hoàn thành,8.2,44,2015,23 phút,https://animehay.in/thong-tin-phim/big-order-ova-2165.html
4025,Big Order OVA,Siêu năng lực,Hoàn thành,8.2,44,2015,23 phút,https://animehay.in/thong-tin-phim/big-order-ova-2165.html
4025,Miss Monochrome: The Animation 2,Anime,Hoàn thành,8.9,15,2015,13 Tập,https://animehay.in/thong-tin-phim/miss-monochrome-the-animation-2-1895.html
4025,Miss Monochrome: The Animation 2,Đời thường,Hoàn thành,8.9,15,2015,13 Tập,https://animehay.in/thong-tin-phim/miss-monochrome-the-animation-2-1895.html
4025,Miss Monochrome: The Animation 2,Âm nhạc,Hoàn thành,8.9,15,2015,13 Tập,https://animehay.in/thong-tin-phim/miss-monochrome-the-animation-2-1895.html
4025,Kara no Kyoukai: Mirai Fukuin,Anime,Hoàn thành,9.7,47,2013,88 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2164.html
4025,Kara no Kyoukai: Mirai Fukuin,Hành động,Hoàn thành,9.7,47,2013,88 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2164.html
4025,Kara no Kyoukai: Mirai Fukuin,Siêu nhiên,Hoàn thành,9.7,47,2013,88 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2164.html
4025,Kara no Kyoukai: Mirai Fukuin,Bí ẩn,Hoàn thành,9.7,47,2013,88 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2164.html
4025,Kara no Kyoukai: Mirai Fukuin,Thriller,Hoàn thành,9.7,47,2013,88 phút,https://animehay.in/thong-tin-phim/kara-no-kyoukai-1-fukan-fuukei-2164.html
